Year;Month;Day;Time;MJD;Mass_X;Mass_Y;Mass_Z;Motion_X;Motion_Y;Motion_Z
2021;01;09;12:00:00;59223.500;-9.157500192501168e-08;2.317491851901098e-07;7.071993155053583e-10;-3.196193974577980e-11;-1.511079414745250e-11;2.731308615918240e-13
2021;01;10;12:00:00;59224.500;-9.052351116542368e-08;2.318753895608199e-07;7.219651831267599e-10;-3.265194564285890e-11;-1.573734672378200e-11;2.770822552918910e-13
2021;01;11;12:00:00;59225.500;-8.878333454304471e-08;2.316129530921099e-07;7.415574282694587e-10;-3.326329792712020e-11;-1.633103080922580e-11;2.812064004180400e-13
2021;01;12;12:00:00;59226.500;-8.758103645747569e-08;2.318983373518199e-07;7.649066612325583e-10;-3.390900456221290e-11;-1.703886307501820e-11;2.856152984517890e-13
2021;01;13;12:00:00;59227.500;-8.646640753010569e-08;2.321860757579099e-07;7.934878570927595e-10;-3.455048397695890e-11;-1.772483357146510e-11;2.895769973257370e-13
2021;01;14;12:00:00;59228.500;-8.561375541368171e-08;2.308732315742900e-07;8.244801801373575e-10;-3.516607867986370e-11;-1.842202635436820e-11;2.934609704431270e-13
2021;01;15;12:00:00;59229.500;-8.314408471086568e-08;2.299947209094699e-07;8.408828213267574e-10;-3.576702035377030e-11;-1.916591953548090e-11;2.974539569299910e-13
2021;01;16;12:00:00;59230.500;-8.203479290744571e-08;2.274434148659299e-07;8.493199014505581e-10;-3.639947326504140e-11;-1.987813059285990e-11;3.016323407190910e-13
2021;01;17;12:00:00;59231.500;-8.054621335262968e-08;2.259971490742100e-07;8.696631543564574e-10;-3.704111761693380e-11;-2.058708572414890e-11;3.055664646407960e-13
2021;01;18;12:00:00;59232.500;-7.913652000859072e-08;2.259701004010000e-07;8.890765929491589e-10;-3.784516596761550e-11;-2.140173362806280e-11;3.097271841766310e-13
2021;01;19;12:00:00;59233.500;-7.817145391373671e-08;2.268436604134900e-07;9.103878221115576e-10;-3.871139973686310e-11;-2.221728035364710e-11;3.142582306116920e-13
2021;01;20;12:00:00;59234.500;-7.779520366372672e-08;2.269537051754999e-07;9.394092492050579e-10;-3.959677109732750e-11;-2.301512509183560e-11;3.190366591173340e-13
