Year;Month;Day;Time;MJD;Mass_X;Mass_Y;Mass_Z;Motion_X;Motion_Y;Motion_Z
1991;09;18;00:00:00;48517.00;1.88284731E+00;7.63439365E+00;2.43640775E-03;-6.77770862E+00;6.47195160E+00;2.06500374E-02
1991;09;19;00:00:00;48518.00;-4.94278138E+00;-1.98661212E+00;-5.14912855E-03;2.24783509E-03;6.31698580E+00;1.06434483E-02
1991;09;20;00:00:00;48519.00;-1.07399097E+01;-1.51859855E+00;-6.20517675E-03;-1.37656465E+01;7.11457798E+00;-4.53297544E-03
1991;09;21;00:00:00;48520.00;-1.73501179E+01;-5.28507073E+00;-6.18808815E-03;-1.09141318E+01;2.41584306E+00;-7.95738813E-03
1991;09;22;00:00:00;48521.00;-1.50683286E+01;-1.06253154E+01;-4.62068825E-03;-8.78611172E+00;-1.33465977E+01;-7.02700780E-03
1991;09;23;00:00:00;48522.00;-9.12424731E+00;-8.51192003E+00;-4.03114285E-03;1.10764367E+01;-1.56210676E+01;4.92821761E-03
1991;09;24;00:00:00;48523.00;-1.16851561E+00;1.62422264E+00;9.17967325E-03;2.17258810E+00;-9.73619451E+00;8.49515677E-03
1991;09;25;00:00:00;48524.00;3.73630247E+00;5.70637052E+00;2.15754418E-02;1.02362122E+00;3.06249717E+00;2.60665715E-02
1991;09;26;00:00:00;48525.00;7.72751069E+00;-3.97870467E+00;1.30884730E-02;-9.81810350E+00;-5.00086958E+00;1.24501198E-02
1991;09;27;00:00:00;48526.00;2.76435856E+00;-7.53643036E+00;1.05672191E-02;4.01102957E+00;2.05632980E+00;1.51043466E-02
1991;09;28;00:00:00;48527.00;3.45001722E+00;-9.88499583E+00;7.55641905E-03;6.37962050E+00;-4.03172023E+00;1.00585301E-02
1991;09;29;00:00:00;48528.00;5.68875019E+00;-2.01953728E+01;5.23952735E-03;6.30951023E+00;-1.25669615E+01;8.36474094E-03
1991;09;30;00:00:00;48529.00;6.46173097E+00;-2.26798385E+01;-9.92130350E-04;3.42609733E+00;-1.72520083E+01;9.74139774E-03
1991;10;01;00:00:00;48530.00;8.98629076E+00;-2.78478478E+01;-4.78855035E-03;1.47617291E+00;-1.67981243E+00;8.71785709E-03
1991;10;02;00:00:00;48531.00;1.03967148E+01;-3.76049823E+01;-1.43762395E-03;-1.42360649E+00;-1.52316575E+01;6.28918244E-03
1991;10;03;00:00:00;48532.00;5.00390016E+00;-4.00221695E+01;-3.66913875E-03;-5.09358006E+00;-1.97282940E+01;1.63306709E-02
1991;10;04;00:00:00;48533.00;-3.58881623E+00;-2.86431342E+01;-9.85314475E-03;9.33571912E-01;-1.58590594E+01;1.36155327E-02
1991;10;05;00:00:00;48534.00;-6.40676163E+00;-1.65864890E+01;-1.10634898E-02;-1.06191682E+00;-1.06308620E+01;7.43617244E-03
1991;10;06;00:00:00;48535.00;3.33426574E-02;-1.60309968E+01;-1.28644476E-02;2.58154967E-01;-5.52776305E+00;-4.19105513E-03
1991;10;07;00:00:00;48536.00;3.26118252E+00;-1.89362833E+01;-1.29660049E-02;-4.18413336E+00;-8.32833485E+00;-3.31232057E-03
1991;10;08;00:00:00;48537.00;-1.97925826E+00;-1.95564150E+01;-3.82387565E-03;1.00124069E+00;-3.88576864E+00;-4.09678910E-04
1991;10;09;00:00:00;48538.00;-5.19728743E+00;-2.04759234E+01;9.98345915E-03;5.80330871E+00;-3.12332208E+00;2.28104003E-03
1991;10;10;00:00:00;48539.00;-1.45645166E+01;-1.92689453E+01;1.03767438E-02;8.91690706E+00;-5.42976768E+00;1.23461878E-03
1991;10;11;00:00:00;48540.00;-8.29311384E+00;-1.78663778E+01;5.46085325E-03;3.59613326E+00;-1.06933992E+01;2.09516167E-03
