Year;Month;Day;Time;MJD;Mass_X;Mass_Y;Mass_Z;Motion_X;Motion_Y;Motion_Z
1980;03;24;00:00:00;44322.00;-5.08066443E-01;-4.56852170E+00;1.23369240E-02;5.29131216E+00;-7.47449577E+00;9.34868048E-03
1980;03;25;00:00:00;44323.00;5.79209150E+00;7.48647904E-01;1.15161948E-02;1.51482264E+01;-1.69620651E+00;9.44244641E-03
1980;03;26;00:00:00;44324.00;1.55631357E+01;-1.78363814E+00;7.67355075E-03;1.04365968E+01;-9.70641749E+00;9.70174030E-03
1980;03;27;00:00:00;44325.00;1.03888932E+01;-2.99304496E+00;3.39708255E-03;5.91586979E+00;-3.89243539E+00;1.67315250E-02
1980;03;28;00:00:00;44326.00;7.35837750E+00;-9.63243200E+00;1.11232777E-02;5.94175197E+00;-1.05727903E+01;2.67675850E-02
1980;03;29;00:00:00;44327.00;6.00182633E+00;-9.58868419E+00;1.16402589E-02;1.09054837E+00;-4.42905991E+00;2.95714867E-02
1980;03;30;00:00:00;44328.00;9.53493244E+00;-1.03675035E+01;1.41847512E-02;9.35239592E+00;-7.51635420E+00;3.20281449E-02
1980;03;31;00:00:00;44329.00;4.13198221E+00;-1.14502605E+01;1.49605916E-02;7.05103121E+00;-9.31418336E+00;2.67740675E-02
1980;04;01;00:00:00;44330.00;-4.77592160E+00;-1.07223018E+01;6.90856225E-03;1.52722163E+01;-1.02082944E+01;1.88510968E-02
1980;04;02;00:00:00;44331.00;-9.95383432E+00;-1.25213526E+01;-1.14541225E-03;1.46673777E+01;-6.60054814E+00;3.58628145E-03
1980;04;03;00:00:00;44332.00;-9.61530653E+00;-1.46617191E+01;-4.48493435E-03;1.45081124E+01;-7.00108469E+00;4.33997215E-03
1980;04;04;00:00:00;44333.00;-1.28190677E+01;-8.66026856E+00;-9.23995005E-03;8.00005121E+00;5.36867661E+00;7.04497464E-03
1980;04;05;00:00:00;44334.00;-1.29052098E+01;-7.93403477E+00;-6.87372755E-03;1.08270045E+01;2.44747408E+00;7.88981466E-03
1980;04;06;00:00:00;44335.00;-1.05934652E+01;-8.85294516E+00;-6.77091965E-03;9.31789166E+00;-6.23079401E+00;6.78666413E-03
1980;04;07;00:00:00;44336.00;-7.13152980E+00;-9.42493425E+00;-6.17101945E-03;1.40236636E+01;-1.03275958E+01;5.12281440E-03
1980;04;08;00:00:00;44337.00;-5.38476435E+00;-1.20754480E+01;-8.63309955E-03;2.55587948E+00;-1.16263430E+01;5.38156641E-03
1980;04;09;00:00:00;44338.00;-3.94167987E+00;-9.70290640E+00;-1.24796627E-02;3.04215373E+00;-4.66378312E+00;7.27154771E-03
1980;04;10;00:00:00;44339.00;2.35702210E+00;-7.77159131E+00;-6.11030125E-03;7.67483100E+00;-5.91213425E+00;6.48292577E-03
1980;04;11;00:00:00;44340.00;-4.09714927E+00;-8.20466203E+00;-8.29712895E-03;5.70623609E+00;-8.81217929E+00;-8.09568619E-05
1980;04;12;00:00:00;44341.00;-1.14221865E+01;-5.32717825E+00;-1.44769472E-02;8.30560594E+00;-1.03813539E+01;-5.91422946E-06
1980;04;13;00:00:00;44342.00;-7.92934086E+00;-7.53919472E+00;-2.02958192E-02;3.49449702E-01;-8.92555201E+00;4.17830120E-03
1980;04;14;00:00:00;44343.00;-8.57923983E+00;-1.05373987E+01;-1.95763947E-02;-1.65856586E+00;-4.71574892E+00;1.25566244E-02
1980;04;15;00:00:00;44344.00;-6.02591538E+00;-1.27105280E+01;-1.44550558E-02;-6.28759112E+00;-2.57999597E+00;6.91482360E-03
1980;04;16;00:00:00;44345.00;-7.08447241E+00;-1.60053222E+01;-1.20792324E-02;-9.46981043E+00;-9.23811011E+00;-3.71628494E-03
1980;04;17;00:00:00;44346.00;-1.26049303E+01;-1.52112122E+01;-1.38558976E-02;-6.11526959E+00;-1.19112494E+01;-1.60882864E-02
1980;04;18;00:00:00;44347.00;-1.73784840E+01;-2.13951565E+01;-2.07539317E-02;1.32095637E+00;-9.13914013E+00;-2.19402982E-02
1980;04;19;00:00:00;44348.00;-1.27405631E+01;-2.24193348E+01;-1.99709030E-02;1.33296973E+00;-1.58035866E+01;-1.28367117E-02
1980;04;20;00:00:00;44349.00;-4.37358367E+00;-9.04200170E+00;-1.54008536E-02;4.33970380E+00;-1.09764326E+01;9.44971867E-03
1980;04;21;00:00:00;44350.00;1.37002587E+00;-4.10494640E+00;-1.46710983E-02;5.53406993E+00;-1.24476172E+01;1.32024695E-02
1980;04;22;00:00:00;44351.00;1.08330833E+00;-4.98856936E+00;-1.31901795E-02;7.52814851E+00;1.09319066E+00;6.04483029E-03
1980;04;23;00:00:00;44352.00;4.12962197E-01;-1.30958731E+01;-1.07123949E-02;7.45111736E+00;-6.18941931E+00;5.15799097E-03
1980;04;24;00:00:00;44353.00;-5.61669567E+00;-1.62912922E+01;-2.10071089E-02;6.39032873E+00;-2.75940257E+00;8.15856693E-03
1980;04;25;00:00:00;44354.00;-5.41710896E+00;-2.00870992E+01;-1.51149657E-02;1.83649347E+01;-9.95231317E+00;1.36548736E-02
1980;04;26;00:00:00;44355.00;-1.24714155E+01;-1.58597778E+01;-4.46359835E-03;1.34709140E+01;-5.26382908E+00;1.82930155E-02
1980;04;27;00:00:00;44356.00;-5.17378877E+00;-1.44616307E+01;-1.13005852E-04;1.19328455E+01;-1.01360707E+01;1.94175129E-02
1980;04;28;00:00:00;44357.00;3.27342912E+00;-6.24083739E+00;5.03860035E-03;1.51520190E-01;-4.36581698E+00;2.80722899E-02
1980;04;29;00:00:00;44358.00;1.53068935E+01;2.02201454E-01;8.33423805E-03;-1.04850165E+01;-7.95090606E+00;2.93195139E-02
1980;04;30;00:00:00;44359.00;1.59487415E+01;-3.71030610E+00;1.07215918E-02;-9.61195663E+00;-6.03598017E+00;1.80018614E-02
1980;05;01;00:00:00;44360.00;6.47130754E+00;-1.54286041E+01;1.50084476E-02;-1.00554534E+00;-1.15490176E+01;1.71583561E-02
1980;05;02;00:00:00;44361.00;-7.04854675E+00;-1.35014638E+01;1.77031648E-02;-1.08226441E+00;-3.99532259E+00;2.47724320E-02
1980;05;03;00:00:00;44362.00;-1.13356405E+01;-1.06092031E+01;1.73354819E-02;-5.81720997E+00;-7.23574718E+00;3.43996783E-02
1980;05;04;00:00:00;44363.00;-1.84129770E+01;-1.06727109E+01;1.87119172E-02;-8.69457678E+00;1.25613968E+00;4.63214903E-02
1980;05;05;00:00:00;44364.00;-1.45804367E+01;-1.36063766E+01;1.73902027E-02;-3.70077269E+00;3.22743616E+00;3.73690373E-02
1980;05;06;00:00:00;44365.00;-4.58390646E+00;-1.33373292E+01;1.84301908E-02;-4.09068459E+00;-4.82016573E+00;2.39957004E-02
1980;05;07;00:00:00;44366.00;2.83074328E+00;-1.35686389E+01;1.88709487E-02;-1.69766338E+00;-1.10664232E+01;2.70572454E-02
1980;05;08;00:00:00;44367.00;3.50761376E+00;-1.92215897E+01;2.11771683E-02;-6.54389385E-01;-1.12007661E+01;3.80833524E-02
1980;05;09;00:00:00;44368.00;1.92798154E+00;-1.80557450E+01;1.96767755E-02;3.62515716E+00;-1.22827711E+01;3.99526661E-02
1980;05;10;00:00:00;44369.00;2.10229116E+00;-1.23719775E+01;2.08634947E-02;3.15770448E-01;-1.14443497E+01;3.22701634E-02
1980;05;11;00:00:00;44370.00;-1.17029993E+00;-1.31840848E+01;1.51496583E-02;2.62625970E-02;-1.04426884E+01;2.32506547E-02
1980;05;12;00:00:00;44371.00;-1.48013430E+00;-1.78302510E+01;4.90436285E-03;1.28251105E+00;-9.24512150E+00;2.17198517E-02
1980;05;13;00:00:00;44372.00;-1.07503505E+01;-1.96604363E+01;-4.03276495E-03;-2.15155502E+00;-7.59226324E+00;2.35920850E-02
1980;05;14;00:00:00;44373.00;-1.56044332E+01;-1.19710045E+01;3.93735545E-03;8.22037673E+00;5.66982938E+00;3.22756338E-02
1980;05;15;00:00:00;44374.00;-1.27747954E+01;3.46411569E+00;1.84030201E-02;1.22192384E+01;6.75779960E+00;4.45180638E-02
1980;05;16;00:00:00;44375.00;-4.28097142E+00;8.10213383E+00;2.09689067E-02;4.88930345E+00;7.08272714E+00;4.24356700E-02
1980;05;17;00:00:00;44376.00;-6.15067325E+00;9.06911512E+00;2.04015960E-02;3.08432558E+00;1.05612698E+01;2.81058159E-02
1980;05;18;00:00:00;44377.00;-6.89137927E-02;3.63380134E+00;1.39659270E-02;2.08325084E+00;4.76075534E+00;1.58695635E-02
1980;05;19;00:00:00;44378.00;1.01746302E+01;1.73173845E+00;8.98263475E-03;-5.33316600E+00;-1.05901161E+01;1.02114022E-02
1980;05;20;00:00:00;44379.00;9.85517576E+00;1.29321882E+00;1.66554451E-02;-5.75464582E+00;-1.00967321E+00;2.00967268E-02
1980;05;21;00:00:00;44380.00;2.28326562E+00;-6.81352602E+00;2.25006809E-02;-7.53798481E+00;-1.75422822E+00;2.35246494E-02
1980;05;22;00:00:00;44381.00;-8.45491152E+00;-5.63874632E+00;2.00265860E-02;-4.19889524E+00;-8.18840328E+00;1.69811976E-02
1980;05;23;00:00:00;44382.00;-7.46397992E+00;9.16008194E-01;8.16592985E-03;-4.24827178E+00;-7.82773888E+00;1.13034049E-02
1980;05;24;00:00:00;44383.00;-6.13913961E+00;1.20308512E+01;-1.07105225E-03;2.05716486E+00;1.99262990E+00;1.22182934E-02
1980;05;25;00:00:00;44384.00;7.53973835E+00;7.09362898E+00;-8.90598647E-04;2.28269796E+00;5.47479795E+00;2.03402742E-02
1980;05;26;00:00:00;44385.00;9.61080633E+00;-3.89337162E-02;-8.47251504E-05;-8.68631168E+00;-1.67944979E+00;1.76478222E-02
1980;05;27;00:00:00;44386.00;2.13010339E+00;-3.87733479E+00;4.98665948E-04;-9.47623745E+00;-3.36917968E+00;1.03482605E-02
1980;05;28;00:00:00;44387.00;-1.08744878E+01;-3.95278946E+00;-1.59262935E-03;-1.09256030E+01;-7.81517661E+00;4.89194802E-03
1980;05;29;00:00:00;44388.00;-1.07544565E+01;-7.97845801E+00;-1.43159935E-03;-7.58484859E+00;-6.97725711E+00;-3.20747807E-03
